[LOG] 2014-05-20 11:09:47,441 - org.springframework.beans.factory.xml.XmlBeanDefinitionReader -429  [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader  - Loading XML bean definitions from class path resource [ApplicationContext.xml]
[LOG] 2014-05-20 11:09:48,730 - org.springframework.beans.factory.xml.XmlBeanDefinitionReader -1718 [main] INFO  org.springframework.beans.factory.xml.XmlBeanDefinitionReader  - Loading XML bean definitions from class path resource [spring-data.xml]
[LOG] 2014-05-20 11:09:49,230 - org.springframework.beans.factory.support.DefaultListableBeanFactory -2218 [main] INFO  org.springframework.beans.factory.support.DefaultListableBeanFactory  - Overriding bean definition for bean 'employeeContractDao': replacing [Root bean: class [org.springframework.data.jpa.repository.support.JpaRepositoryFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [org.springframework.data.jpa.repository.support.JpaRepositoryFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
[LOG] 2014-05-20 11:09:49,231 - org.springframework.beans.factory.support.DefaultListableBeanFactory -2219 [main] INFO  org.springframework.beans.factory.support.DefaultListableBeanFactory  - Overriding bean definition for bean 'personSocialRelationshipDao': replacing [Root bean: class [org.springframework.data.jpa.repository.support.JpaRepositoryFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [org.springframework.data.jpa.repository.support.JpaRepositoryFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
[LOG] 2014-05-20 11:09:49,231 - org.springframework.beans.factory.support.DefaultListableBeanFactory -2219 [main] INFO  org.springframework.beans.factory.support.DefaultListableBeanFactory  - Overriding bean definition for bean 'personWorkExperienceDao': replacing [Root bean: class [org.springframework.data.jpa.repository.support.JpaRepositoryFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [org.springframework.data.jpa.repository.support.JpaRepositoryFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
[LOG] 2014-05-20 11:09:49,232 - org.springframework.beans.factory.support.DefaultListableBeanFactory -2220 [main] INFO  org.springframework.beans.factory.support.DefaultListableBeanFactory  - Overriding bean definition for bean 'employeePostTransactionDao': replacing [Root bean: class [org.springframework.data.jpa.repository.support.JpaRepositoryFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [org.springframework.data.jpa.repository.support.JpaRepositoryFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
[LOG] 2014-05-20 11:09:49,232 - org.springframework.beans.factory.support.DefaultListableBeanFactory -2220 [main] INFO  org.springframework.beans.factory.support.DefaultListableBeanFactory  - Overriding bean definition for bean 'employeeSalaryInfoDao': replacing [Root bean: class [org.springframework.data.jpa.repository.support.JpaRepositoryFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [org.springframework.data.jpa.repository.support.JpaRepositoryFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
[LOG] 2014-05-20 11:09:49,232 - org.springframework.beans.factory.support.DefaultListableBeanFactory -2220 [main] INFO  org.springframework.beans.factory.support.DefaultListableBeanFactory  - Overriding bean definition for bean 'employeeEventDao': replacing [Root bean: class [org.springframework.data.jpa.repository.support.JpaRepositoryFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Root bean: class [org.springframework.data.jpa.repository.support.JpaRepositoryFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
[LOG] 2014-05-20 11:09:49,240 - org.springframework.web.context.support.GenericWebApplicationContext -2228 [main] INFO  org.springframework.web.context.support.GenericWebApplicationContext  - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@3cc7e580: startup date [Tue May 20 11:09:49 CST 2014]; root of context hierarchy
[LOG] 2014-05-20 11:09:49,644 - org.springframework.beans.factory.config.PropertyPlaceholderConfigurer -2632 [main] INFO  org.springframework.beans.factory.config.PropertyPlaceholderConfigurer  - Loading properties file from class path resource [jdbc.properties]
[LOG] 2014-05-20 11:09:50,249 - org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean -3237 [main] INFO  org.springframework.orm.jpa.LocalContainerEntityManagerFactoryBean  - Building JPA container EntityManagerFactory for persistence unit 'default'
[LOG] 2014-05-20 11:09:50,618 - org.hibernate.annotations.common.Version -3606 [main] INFO  org.hibernate.annotations.common.Version  - HCANN000001: Hibernate Commons Annotations {4.0.2.Final}
[LOG] 2014-05-20 11:09:50,630 - org.hibernate.Version -3618 [main] INFO  org.hibernate.Version  - HHH000412: Hibernate Core {4.2.12.Final}
[LOG] 2014-05-20 11:09:50,634 - org.hibernate.cfg.Environment -3622 [main] INFO  org.hibernate.cfg.Environment  - HHH000206: hibernate.properties not found
[LOG] 2014-05-20 11:09:50,636 - org.hibernate.cfg.Environment -3624 [main] INFO  org.hibernate.cfg.Environment  - HHH000021: Bytecode provider name : javassist
[LOG] 2014-05-20 11:09:50,906 - org.hibernate.service.jdbc.connections.internal.ConnectionProviderInitiator -3894 [main] INFO  org.hibernate.service.jdbc.connections.internal.ConnectionProviderInitiator  - HHH000130: Instantiating explicit connection provider: org.hibernate.ejb.connection.InjectedDataSourceConnectionProvider
[LOG] 2014-05-20 11:09:51,526 - org.hibernate.dialect.Dialect -4514 [main] INFO  org.hibernate.dialect.Dialect  - HHH000400: Using dialect: org.hibernate.dialect.MySQL5InnoDBDialect
[LOG] 2014-05-20 11:09:52,341 - org.hibernate.engine.transaction.internal.TransactionFactoryInitiator -5329 [main] INFO  org.hibernate.engine.transaction.internal.TransactionFactoryInitiator  - HHH000268: Transaction strategy: org.hibernate.engine.transaction.internal.jdbc.JdbcTransactionFactory
[LOG] 2014-05-20 11:09:52,351 - org.hibernate.hql.internal.ast.ASTQueryTranslatorFactory -5339 [main] INFO  org.hibernate.hql.internal.ast.ASTQueryTranslatorFactory  - HHH000397: Using ASTQueryTranslatorFactory
[LOG] 2014-05-20 11:09:52,436 - org.hibernate.validator.internal.util.Version -5424 [main] INFO  org.hibernate.validator.internal.util.Version  - HV000001: Hibernate Validator 4.3.1.Final
[LOG] 2014-05-20 11:09:53,824 - org.hibernate.tool.hbm2ddl.SchemaUpdate -6812 [main] INFO  org.hibernate.tool.hbm2ddl.SchemaUpdate  - HHH000228: Running hbm2ddl schema update
[LOG] 2014-05-20 11:09:53,825 - org.hibernate.tool.hbm2ddl.SchemaUpdate -6813 [main] INFO  org.hibernate.tool.hbm2ddl.SchemaUpdate  - HHH000102: Fetching database metadata
[LOG] 2014-05-20 11:09:53,829 - org.hibernate.tool.hbm2ddl.SchemaUpdate -6817 [main] INFO  org.hibernate.tool.hbm2ddl.SchemaUpdate  - HHH000396: Updating schema
[LOG] 2014-05-20 11:09:53,859 - org.hibernate.tool.hbm2ddl.TableMetadata -6847 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata  - HHH000261: Table found: haisodb0418.empl_dept
[LOG] 2014-05-20 11:09:53,859 - org.hibernate.tool.hbm2ddl.TableMetadata -6847 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata  - HHH000037: Columns: [departmentset_dept_sn, employeeset_empl_sn]
[LOG] 2014-05-20 11:09:53,859 - org.hibernate.tool.hbm2ddl.TableMetadata -6847 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata  - HHH000108: Foreign keys: [fk_ny3hkbm5vlkw677ff7hxscphm, fk_agndtep97uqarnwiprlni1agy]
[LOG] 2014-05-20 11:09:53,859 - org.hibernate.tool.hbm2ddl.TableMetadata -6847 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata  - HHH000126: Indexes: [primary, fk_ny3hkbm5vlkw677ff7hxscphm, fk_agndtep97uqarnwiprlni1agy]
[LOG] 2014-05-20 11:09:53,879 - org.hibernate.tool.hbm2ddl.TableMetadata -6867 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata  - HHH000261: Table found: haisodb0418.empl_post
[LOG] 2014-05-20 11:09:53,880 - org.hibernate.tool.hbm2ddl.TableMetadata -6868 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata  - HHH000037: Columns: [positionset_position_sn, employeeset_empl_sn]
[LOG] 2014-05-20 11:09:53,880 - org.hibernate.tool.hbm2ddl.TableMetadata -6868 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata  - HHH000108: Foreign keys: [fk_r5ovwb3769uayv41hh0gg22hl, fk_kvltefnwu4ynmci8b2j87ooj]
[LOG] 2014-05-20 11:09:53,880 - org.hibernate.tool.hbm2ddl.TableMetadata -6868 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata  - HHH000126: Indexes: [primary, fk_r5ovwb3769uayv41hh0gg22hl, fk_kvltefnwu4ynmci8b2j87ooj]
[LOG] 2014-05-20 11:09:53,893 - org.hibernate.tool.hbm2ddl.TableMetadata -6881 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata  - HHH000261: Table found: haisodb0418.t_department
[LOG] 2014-05-20 11:09:53,893 - org.hibernate.tool.hbm2ddl.TableMetadata -6881 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata  - HHH000037: Columns: [last_update, create_date, leaddept_sn, duty, description, name, dept_sn, version_lock]
[LOG] 2014-05-20 11:09:53,893 - org.hibernate.tool.hbm2ddl.TableMetadata -6881 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata  - HHH000108: Foreign keys: []
[LOG] 2014-05-20 11:09:53,893 - org.hibernate.tool.hbm2ddl.TableMetadata -6881 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata  - HHH000126: Indexes: [primary]
[LOG] 2014-05-20 11:09:53,894 - java.sql.DatabaseMetaData -6882 [main] INFO  java.sql.DatabaseMetaData  - HHH000262: Table not found: t_dom
[LOG] 2014-05-20 11:09:53,911 - org.hibernate.tool.hbm2ddl.TableMetadata -6899 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata  - HHH000261: Table found: haisodb0418.t_empl_assess
[LOG] 2014-05-20 11:09:53,912 - org.hibernate.tool.hbm2ddl.TableMetadata -6900 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata  - HHH000037: Columns: [score, qualify, version_lock, id, content, end_date, last_update, title, create_date, empl_sn, conclusion, comment, start_date]
[LOG] 2014-05-20 11:09:53,912 - org.hibernate.tool.hbm2ddl.TableMetadata -6900 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata  - HHH000108: Foreign keys: [fk_rdr7yomvin462gk4pa04q7rvh]
[LOG] 2014-05-20 11:09:53,912 - org.hibernate.tool.hbm2ddl.TableMetadata -6900 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata  - HHH000126: Indexes: [primary, fk_rdr7yomvin462gk4pa04q7rvh]
[LOG] 2014-05-20 11:09:53,921 - org.hibernate.tool.hbm2ddl.TableMetadata -6909 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata  - HHH000261: Table found: haisodb0418.t_empl_bankinfo
[LOG] 2014-05-20 11:09:53,921 - org.hibernate.tool.hbm2ddl.TableMetadata -6909 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata  - HHH000037: Columns: [acc_owner, id, last_update, cardpic_path, create_date, bankcard_num, empl_sn, version_lock, acc_bank]
[LOG] 2014-05-20 11:09:53,921 - org.hibernate.tool.hbm2ddl.TableMetadata -6909 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata  - HHH000108: Foreign keys: [fk_hj8foms78sjr8d4vy24ryw0hx]
[LOG] 2014-05-20 11:09:53,922 - org.hibernate.tool.hbm2ddl.TableMetadata -6910 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata  - HHH000126: Indexes: [fk_hj8foms78sjr8d4vy24ryw0hx, uk_hj8foms78sjr8d4vy24ryw0hx, primary]
[LOG] 2014-05-20 11:09:53,932 - org.hibernate.tool.hbm2ddl.TableMetadata -6920 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata  - HHH000261: Table found: haisodb0418.t_empl_contract
[LOG] 2014-05-20 11:09:53,932 - org.hibernate.tool.hbm2ddl.TableMetadata -6920 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata  - HHH000037: Columns: [id, last_update, person_id, create_date, remark, location, contract_sn, empl_sn, contract_date, expiry_date, version_lock]
[LOG] 2014-05-20 11:09:53,932 - org.hibernate.tool.hbm2ddl.TableMetadata -6920 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata  - HHH000108: Foreign keys: [fk_ny54ha7j0ucbgd8mhurt76qnk, fk_fygks48fgk3a8r2re7vkkc0c3]
[LOG] 2014-05-20 11:09:53,932 - org.hibernate.tool.hbm2ddl.TableMetadata -6920 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata  - HHH000126: Indexes: [fk_ny54ha7j0ucbgd8mhurt76qnk, fk_fygks48fgk3a8r2re7vkkc0c3, primary]
[LOG] 2014-05-20 11:09:53,946 - org.hibernate.tool.hbm2ddl.TableMetadata -6934 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata  - HHH000261: Table found: haisodb0418.t_empl_event
[LOG] 2014-05-20 11:09:53,946 - org.hibernate.tool.hbm2ddl.TableMetadata -6934 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata  - HHH000037: Columns: [com_leader, com_opinion, date_start, dept_date, dept_opinion, id, date_end, hr_date, dept_leader, event_manager, create_date, hr_opinion, hr_leader, empl_sn, com_date]
[LOG] 2014-05-20 11:09:53,946 - org.hibernate.tool.hbm2ddl.TableMetadata -6934 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata  - HHH000108: Foreign keys: [fk_c9k4a9i2hnixljlvjy9itqvw, fk_h2672rn3psx74ajfe2icpf9b6, fk_ehhg8g913bbwkismvtrss4b5h, fk_a4qp0ktk2scqq03vkmn38dn7q, fk_7rvdsmwcby5x3pmioxvybne6q]
[LOG] 2014-05-20 11:09:53,946 - org.hibernate.tool.hbm2ddl.TableMetadata -6934 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata  - HHH000126: Indexes: [fk_c9k4a9i2hnixljlvjy9itqvw, fk_ehhg8g913bbwkismvtrss4b5h, fk_h2672rn3psx74ajfe2icpf9b6, primary, fk_a4qp0ktk2scqq03vkmn38dn7q, fk_7rvdsmwcby5x3pmioxvybne6q]
[LOG] 2014-05-20 11:09:53,954 - org.hibernate.tool.hbm2ddl.TableMetadata -6942 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata  - HHH000261: Table found: haisodb0418.t_empl_phy_exam
[LOG] 2014-05-20 11:09:53,955 - org.hibernate.tool.hbm2ddl.TableMetadata -6943 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata  - HHH000037: Columns: [id, remark, exam_date, empl_sn, conclusion]
[LOG] 2014-05-20 11:09:53,955 - org.hibernate.tool.hbm2ddl.TableMetadata -6943 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata  - HHH000108: Foreign keys: [fk_9r81pora2ubro2in0mo0ytvov]
[LOG] 2014-05-20 11:09:53,955 - org.hibernate.tool.hbm2ddl.TableMetadata -6943 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata  - HHH000126: Indexes: [fk_9r81pora2ubro2in0mo0ytvov, primary]
[LOG] 2014-05-20 11:09:53,963 - org.hibernate.tool.hbm2ddl.TableMetadata -6951 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata  - HHH000261: Table found: haisodb0418.t_empl_pos_tx
[LOG] 2014-05-20 11:09:53,963 - org.hibernate.tool.hbm2ddl.TableMetadata -6951 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata  - HHH000037: Columns: [id, last_update, create_date, status, remark, empl_sn, version_lock]
[LOG] 2014-05-20 11:09:53,963 - org.hibernate.tool.hbm2ddl.TableMetadata -6951 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata  - HHH000108: Foreign keys: [fk_rqvnx239tu2imgc1mhmnaia1k]
[LOG] 2014-05-20 11:09:53,963 - org.hibernate.tool.hbm2ddl.TableMetadata -6951 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata  - HHH000126: Indexes: [primary, fk_rqvnx239tu2imgc1mhmnaia1k]
[LOG] 2014-05-20 11:09:53,972 - org.hibernate.tool.hbm2ddl.TableMetadata -6960 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata  - HHH000261: Table found: haisodb0418.t_empl_rwpns
[LOG] 2014-05-20 11:09:53,972 - org.hibernate.tool.hbm2ddl.TableMetadata -6960 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata  - HHH000037: Columns: [id, end_date, school, degree, empl_sn, qualify, start_date, major]
[LOG] 2014-05-20 11:09:53,972 - org.hibernate.tool.hbm2ddl.TableMetadata -6960 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata  - HHH000108: Foreign keys: [fk_laie47ghx4ygg2b1b9re06rji]
[LOG] 2014-05-20 11:09:53,972 - org.hibernate.tool.hbm2ddl.TableMetadata -6960 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata  - HHH000126: Indexes: [fk_laie47ghx4ygg2b1b9re06rji, primary]
[LOG] 2014-05-20 11:09:53,988 - org.hibernate.tool.hbm2ddl.TableMetadata -6976 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata  - HHH000261: Table found: haisodb0418.t_empl_salary
[LOG] 2014-05-20 11:09:53,988 - org.hibernate.tool.hbm2ddl.TableMetadata -6976 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata  - HHH000037: Columns: [fee_water, allo_meal, allo_child, pay_attendance, dues_union, pay_callback, allo_educate, insu_medical, fund_house, pay_regular, subs_rent, cost_rent, tax_stamp, fee_coultant, id, pay_seniority, insu_pension, fee_electric, pay_post, allo_duty, fee_gas, period_end, tax_income, fee_property, subsrent, insu_unempl, person_id, period_start, feecoultant, allo_health, subsidy, pay_merit, pay_watcher, perquisite, bonus, insu_lqmed]
[LOG] 2014-05-20 11:09:53,989 - org.hibernate.tool.hbm2ddl.TableMetadata -6977 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata  - HHH000108: Foreign keys: [fk_q38ewx6edufweu39hxy1ing6m]
[LOG] 2014-05-20 11:09:53,989 - org.hibernate.tool.hbm2ddl.TableMetadata -6977 [main] INFO  org.hibernate.tool.hbm2ddl.TableMetadata  - HHH000126: Indexes: [primary, fk_q38ewx6edufweu39hxy1ing6m]
